time,open,high,low,close,volume
2022-01-20 16:15:00,130.82,130.82,130.5,130.5,69423
2022-01-20 16:00:00,131.17,131.28,130.5705,130.79,689553
2022-01-20 15:45:00,131.72,131.81,131.18,131.21,242019
2022-01-20 15:30:00,132.06,132.22,131.73,131.78,163125
2022-01-20 15:15:00,132.37,132.53,132.05,132.06,305906
2022-01-20 15:00:00,132.03,132.44,132.005,132.37,281980
2022-01-20 14:45:00,131.88,132.015,131.72,132.015,116205
2022-01-20 14:30:00,132.0674,132.24,131.735,131.9,148534
2022-01-20 14:15:00,132.28,132.55,132.07,132.07,112038
2022-01-20 14:00:00,132.37,132.48,132.15,132.29,78778
2022-01-20 13:45:00,132.28,132.44,132.14,132.385,74546
2022-01-20 13:30:00,132.415,132.4796,132.21,132.28,86139
2022-01-20 13:15:00,132.46,132.48,132.23,132.42,112026
2022-01-20 13:00:00,132.45,132.55,132.27,132.47,88221
2022-01-20 12:45:00,132.52,132.6,132.32,132.4125,70801
2022-01-20 12:30:00,132.33,132.5199,132.21,132.51,90174
2022-01-20 12:15:00,132.8227,132.88,132.28,132.33,81992
2022-01-20 12:00:00,132.631,132.865,132.51,132.815,196393
2022-01-20 11:45:00,132.53,132.675,132.47,132.635,154720
2022-01-20 11:30:00,132.07,132.64,131.96,132.525,138940
2022-01-20 11:15:00,132.23,132.36,131.39,132.09,127182
2022-01-20 11:00:00,132.3,132.475,132.15,132.23,110494
2022-01-20 10:45:00,131.6,132.49,131.57,132.2848,157115
2022-01-20 10:30:00,131.66,131.71,131.375,131.6,120110
2022-01-20 10:15:00,131.92,131.94,131.31,131.65,187423
2022-01-20 10:00:00,131.24,132.09,130.76,131.86,184865
2022-01-20 09:45:00,131.26,131.94,130.67,131.245,289598
2022-01-20 09:30:00,131.7,131.7,131.04,131.05,2923
2022-01-20 09:15:00,131.66,131.66,131.66,131.66,167
2022-01-20 09:00:00,131.8,131.8,131.8,131.8,515
2022-01-20 08:30:00,131.81,131.81,131.79,131.79,701
2022-01-20 08:15:00,131.77,131.77,131.77,131.77,488
2022-01-20 07:45:00,131.45,131.45,131.45,131.45,106
2022-01-19 20:00:00,131.01,131.01,131.01,131.01,100
2022-01-19 19:45:00,131.84,131.84,131.84,131.84,100
2022-01-19 19:15:00,131.51,131.51,131.51,131.51,1211
2022-01-19 19:00:00,131.54,131.54,131.51,131.51,500
2022-01-19 18:15:00,131.51,131.51,131.51,131.51,101
2022-01-19 17:45:00,131.74,131.74,131.74,131.74,598
2022-01-19 17:00:00,131.75,131.75,131.75,131.75,302
2022-01-19 16:30:00,131.6,131.6,131.5,131.5,814
2022-01-19 16:15:00,131.58,132.2,131.5,131.58,74142
2022-01-19 16:00:00,132.08,132.2,131.5,131.6,483940
2022-01-19 15:45:00,132.31,132.33,132.02,132.08,173194
2022-01-19 15:30:00,132.7,132.7,132.31,132.315,89654
2022-01-19 15:15:00,132.52,132.71,132.37,132.67,98182
2022-01-19 15:00:00,132.42,132.56,132.26,132.54,94760
2022-01-19 14:45:00,132.33,132.4988,132.09,132.44,134389
2022-01-19 14:30:00,132.37,132.49,132.3,132.315,91363
2022-01-19 14:15:00,132.7,132.84,132.33,132.38,307274
2022-01-19 14:00:00,132.88,132.88,132.645,132.72,105738
2022-01-19 13:45:00,133.06,133.205,132.82,132.8899,66359
2022-01-19 13:30:00,133.25,133.255,133.04,133.04,52211
2022-01-19 13:15:00,133.32,133.33,133.08,133.2398,63466
2022-01-19 13:00:00,133.2,133.35,133.0276,133.28,70748
2022-01-19 12:45:00,133.2,133.26,133.03,133.2,66839
2022-01-19 12:30:00,133.61,133.635,133.08,133.18,77887
2022-01-19 12:15:00,133.66,133.9,133.6,133.6,80354
2022-01-19 12:00:00,133.27,133.7,133.19,133.67,84762
2022-01-19 11:45:00,133.7084,133.84,133.22,133.27,204376
2022-01-19 11:30:00,133.48,133.81,133.48,133.695,191946
2022-01-19 11:15:00,133.23,133.4497,133.03,133.4497,80490
2022-01-19 11:00:00,133.0745,133.49,133.04,133.2,103652
2022-01-19 10:45:00,132.37,133.42,132.33,133.09,140645
2022-01-19 10:30:00,133.04,133.06,132.35,132.35,109443
2022-01-19 10:15:00,133.3,133.3,132.8,133.07,185247
2022-01-19 10:00:00,133.47,133.5599,132.9384,133.28,149444
2022-01-19 09:45:00,132.9,133.78,132.89,133.55,221660
2022-01-19 09:30:00,132.9,132.9,132.7,132.7,560
